customer_id,gender,age,country,signup_date,last_purchase_date,recency_days,frequency,monetary_value,preferred_category,acquisition_channel,email_open_rate,churn_risk_score
CUST_10000,Female,,Kenya,2023-09-08,2024-04-23,373,3.0,179.34,Makeup,Email,0.22,1.0
CUST_10001,Female,,UK,2023-08-27,2025-01-25,96,3.0,355.02,Makeup,Email,0.1,0.25
CUST_10002,,32.0,USA,2023-06-13,2024-08-18,256,2.0,50.52,Bodycare,Email,0.2,0.9
CUST_10003,Female,21.0,Kenya,2024-09-10,2024-11-16,166,2.0,61.06,Makeup,Email,0.41,0.74
CUST_10004,Female,30.0,Nigeria,2024-01-06,2024-10-27,186,4.0,156.89,Haircare,Organic Search,0.35,0.64
CUST_10005,Male,38.0,Canada,2023-10-12,2025-01-18,103,0.0,304.42,Bodycare,Social Media,0.42,0.42
CUST_10006,Female,35.0,UK,2024-06-30,2024-11-02,180,2.0,392.39,Makeup,Social Media,0.26,0.73
CUST_10007,Female,25.0,USA,2023-11-20,2025-01-03,118,6.0,50.89,Makeup,Social Media,0.49,0.37
CUST_10008,Male,23.0,Canada,2024-10-20,2025-02-14,76,10.0,131.9,Makeup,Referral,0.36,0.41
CUST_10009,M,29.0,Canada,2024-01-06,2024-04-27,369,2.0,278.69,Wellness,Organic Search,0.33,1.0
CUST_10010,Female,16.0,UK,2024-11-27,2025-03-15,47,1.0,195.92,Makeup,Referral,0.17,0.27
CUST_10011,F,27.0,USA,2024-11-27,2024-12-26,126,5.0,99.72,Bodycare,Social Media,0.58,0.55
CUST_10012,Female,22.0,UK,2024-04-09,2024-04-10,386,2.0,124.47,Bodycare,Paid Ads,0.07,1.0
CUST_10013,,47.0,Kenya,2024-10-16,2025-02-22,68,3.0,354.36,Haircare,Referral,0.21,0.4
CUST_10014,Female,17.0,Canada,2023-01-20,2023-05-14,718,6.0,446.99,Bodycare,Paid Ads,0.23,1.0
CUST_10015,,19.0,USA,2024-05-12,2024-06-16,319,4.0,438.54,Haircare,Email,0.11,1.0
CUST_10016,,18.0,Nigeria,2024-09-13,2024-12-30,122,7.0,102.68,Haircare,Email,0.46,0.43
CUST_10017,F,36.0,Nigeria,2024-04-07,2024-06-07,328,4.0,181.38,Skincare,Paid Ads,0.43,1.0
CUST_10018,,27.0,USA,2024-12-25,2025-01-09,112,5.0,364.17,Bodycare,Paid Ads,0.42,0.41
CUST_10019,F,45.0,UK,2024-07-06,2024-09-11,232,9.0,238.19,Makeup,Email,0.27,0.75
CUST_10020,M,55.0,USA,2024-11-05,2025-02-23,67,2.0,27.78,Skincare,Organic Search,0.13,0.31
CUST_10021,Female,38.0,Kenya,2023-04-22,2024-01-01,486,2.0,845.35,Haircare,Social Media,0.53,1.0
CUST_10022,M,25.0,USA,2024-03-29,2025-01-04,117,2.0,363.26,Makeup,Organic Search,0.26,0.47
CUST_10023,Male,25.0,Canada,2024-05-07,2024-08-24,250,7.0,44.88,Haircare,Email,0.16,0.96
CUST_10024,F,31.0,Canada,2023-10-20,2024-12-26,126,3.0,87.52,Makeup,Email,0.19,0.66
CUST_10025,Male,32.0,UK,2023-03-01,2024-10-14,199,2.0,170.25,Bodycare,Referral,0.51,0.87
